0 19 19 0 
1 35 20 0 
2 26 43 0 
3 27 57 0 
4 19 76 0 
5 27 58 0 
6 27 84 0 
7 32 150 1 
8 25 33 0 
9 35 65 0 
10 26 80 0 
11 26 52 0 
12 20 86 0 
13 32 18 0 
14 18 82 0 
15 29 80 0 
16 47 25 1 
17 45 26 1 
18 46 28 1 
19 48 29 1 
20 45 22 1 
21 47 49 1 
22 48 41 1 
23 45 22 1 
24 46 23 1 
25 47 20 1 
26 49 28 1 
27 47 30 1 
28 29 43 0 
29 31 18 0 
.. ... ... ... 
370 60 46 1 
371 60 83 1 
372 39 73 0 
373 59 130 1 
374 37 80 0 
375 46 32 1 
376 46 74 0 
377 42 53 0 
378 41 87 1 
379 58 23 1 
380 42 64 0 
381 48 33 1 
382 44 139 1 
383 49 28 1 
384 57 33 1 
385 56 60 1 
386 49 39 1 
387 39 71 0 
388 47 34 1 
389 48 35 1 
390 48 33 1 
391 47 23 1 
392 45 45 1 
393 60 42 1 
394 39 59 0 
395 46 41 1 
396 51 23 1 
397 50 20 1 
398 36 33 0 
399 49 36 1
